id,title,description,category,image
1,Advertising,We turn bold ideas into powerful digital solutions that connect, engage...,Marketing & Promotion,ads_icon
2,Social Media Management,We help you build a strong social media presence and engage with your audience.,Marketing & Promotion,social_icon
3,SEO Optimization,Boost your website ranking and visibility with our expert SEO services.,Marketing & Promotion,marketing_icon
4,Content marketing,We help you execute your plan and deliver results.,Content & Media,marketing_icon
5,Content Writing,We help you create a marketing strategy that drives results.,Content & Media,content_icon
6,Graphic Design,Professional graphic design services for your brand.,Content & Media,marketing_icon
7,Video Editing,High-quality video editing for all your content needs.,Content & Media,content_icon
8,SaaS Software Access,Access to top SaaS tools for your business.,Technology & Tools,marketing_icon
9,Cloud Storage Plans,Secure and scalable cloud storage solutions.,Technology & Tools,content_icon
10,Developer Tools,Essential tools for developers and tech teams.,Technology & Tools,social_icon
11,Online Courses,Learn new skills with our curated online courses.,Education & Learning,marketing_icon
12,E-Books / Digital Libraries,Unlimited access to e-books and digital resources.,Education & Learning,content_icon
13,Coaching & Mentorship,Personalized coaching and mentorship programs.,Education & Learning,social_icon
14,Music Streaming,Enjoy unlimited music streaming.,Entertainment & Lifestyle,social_icon
15,Video/OTT Platforms,Access to top video and OTT platforms.,Entertainment & Lifestyle,content_icon
16,Fitness & Wellness Apps,Stay fit and healthy with our wellness app subscriptions.,Entertainment & Lifestyle,social_icon
17,Project Management Tools,Organize and manage your projects efficiently.,Business Services,marketing_icon
18,CRM & Customer Support Systems,Enhance customer relationships with our CRM tools.,Business Services,social_icon
19,Analytics & Reporting,Powerful analytics and reporting tools for your business.,Business Services,content_icon
